NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
1019;2;8079071;R;;VISCONDE DO RIO BRANCO;691;;;;;M;100;R;-30,01867331;-51,20348852
1020;2;7978018;AV;;CRISTOVAO COLOMBO;1787;;x;;;M;100;R;-30,0182598;-51,20286486
1021;2;8079147;R;;FELIX DA CUNHA;667;;;;;M;100;R;-30,01866283;-51,20234007
1022;2;7978018;AV;;CRISTOVAO COLOMBO;1931;Lado oposto 1930;x;;;M;100;R;-30,01817131;-51,20127758
1023;2;8079154;AV;;MERCEDES;39;;x;;;M;100;R;-30,0186044;-51,20119973
1024;2;7978018;AV;;CRISTOVAO COLOMBO;1989;;x;;;M;100;R;-30,01813979;-51,20068147
1025;3;8079188;R;;DR TIMOTEO;390;;x;;;M;100;L;-30,01845857;-51,20017081
1026;3;8079188;R;;DR TIMOTEO;416;;x;;;M;100;L;-30,01866528;-51,20015712
1027;3;8079188;R;;DR TIMOTEO;526;Lado oposto 525;x;;;M;100;L;-30,01958508;-51,2000761
1028;3;8079188;R;;DR TIMOTEO;604;;x;;;M;100;L;-30,02013382;-51,20000884
1029;2;8078305;R;;MARQUES DO POMBAL;403;Lado oposto 404;x;;;M;100;R;-30,02008334;-51,20025917
1030;2;8078305;R;;MARQUES DO POMBAL;327;;x;;;M;100;R;-30,02011856;-51,20083207
1031;2;8079154;AV;;MERCEDES;145;Lado oposto 146;x;;;M;100;R;-30,01978195;-51,20110679
1032;2;8078305;R;;MARQUES DO POMBAL;251;;x;;;M;100;R;-30,02018003;-51,20191251
1033;2;8079147;R;;FELIX DA CUNHA;753;;;;;M;100;R;-30,01951657;-51,20227278
1034;2;8079147;R;;FELIX DA CUNHA;833;;;;;M;100;R;-30,02019428;-51,20221951
1035;3;8078305;R;;MARQUES DO POMBAL;139;;;;;M;100;R;-30,02025984;-51,20346648
1036;2;8079071;R;;VISCONDE DO RIO BRANCO;781;;;;;M;100;R;-30,01961309;-51,20359377
1037;2;8078305;R;;MARQUES DO POMBAL;39;Lado oposto 40, escadaria;;;;U;0;;;
1038;2;8079030;TRAV;;CARMEM;110;Lado oposto 111;;;;M;100;L;-30,01905722;-51,20462416
1039;2;7978059;R;;GEN NETO;594;;;;;U;0;;;
1040;2;7978059;R;;GEN NETO;534;;;;;M;100;L;-30,02089652;-51,20633196
1041;2;8078180;R;;ENG SALDANHA;30;Lado oposto 37;;;;M;100;L;-30,02174542;-51,2065202
1042;2;8078180;R;;ENG SALDANHA;136;Lado oposto 135;x;;;M;100;L;-30,02278243;-51,20682764
1043;2;8078198;R;;ENG ALVARO NUNES PEREIRA;19;;;;;M;100;R;-30,02326018;-51,20677981
1044;2;8078198;R;;ENG ALVARO NUNES PEREIRA;120;Esq. Luciana de Abreu;;;;M;100;L;-30,02272317;-51,20660753
1045;2;8078198;R;;ENG ALVARO NUNES PEREIRA;230;Lado oposto 229;;;;M;100;L;-30,02179402;-51,20615427
1046;2;8078198;R;;ENG ALVARO NUNES PEREIRA;316;Lado oposto 315;;;;M;100;L;-30,02108972;-51,20579964
1047;2;8078198;R;;ENG ALVARO NUNES PEREIRA;400;;;;;M;100;L;-30,02016099;-51,20529684
1048;2;8078222;R;;SANTO INACIO;530;;;;;M;100;L;-30,02100549;-51,20450694
1049;2;8078222;R;;SANTO INACIO;410;Lado oposto 431;;;;M;100;L;-30,02174712;-51,20493542
1050;2;8078222;R;;SANTO INACIO;346;;;;;M;100;L;-30,02237394;-51,20530026
1051;3;8078222;R;;SANTO INACIO;222;;;;;M;100;L;-30,02339335;-51,20589238
1052;2;8078222;R;;SANTO INACIO;140;;;;;M;100;L;-30,02432751;-51,20642639
1053;2;8078222;R;;SANTO INACIO;56;;;;;M;100;L;-30,02482455;-51,20672017
1054;2;7978158;R;;VINTE QUATRO DE OUTUBRO;838;;x;;;M;100;L;-30,02411134;-51,20026239
1055;2;8078149;R;;OLAVO BARRETO VIANA;115;Esq. 24 de outubro;x;;;U;0;;;
1056;3;7978158;R;;VINTE QUATRO DE OUTUBRO;700;;;x;;M;100;L;-30,02485472;-51,20118025
1057;2;7978158;R;;VINTE QUATRO DE OUTUBRO;624;;;x;;M;100;L;-30,02530703;-51,20175549
1058;2;7978158;R;;VINTE QUATRO DE OUTUBRO;576;;;x;;M;100;L;-30,02568614;-51,20222587
1059;2;7978158;R;;VINTE QUATRO DE OUTUBRO;516;;;x;;M;100;L;-30,02615419;-51,20280334
1060;3;7978158;R;;VINTE QUATRO DE OUTUBRO;438;;x;;;M;100;L;-30,02664345;-51,20338024
1061;2;7978158;R;;VINTE QUATRO DE OUTUBRO;364;;x;;;M;100;L;-30,02714134;-51,20399893
1062;2;8078107;R;;FERNANDO GOMES;188;;;x;;M;100;L;-30,02727161;-51,20425505
1063;2;8078131;R;;PADRE CHAGAS;9;;;x;;M;100;R;-30,02640891;-51,20507047
